Sex,Marital-status,Education,Employement,printed-E-books
Female,Divorced,College,Full-time,Yes
Male,Married,College,Full-time,Yes
Female,Married,College,Full-time,No
Female,Married,High school,Retired,No
Female,Married,College,Retired,Yes
Male,Married,College,Full-time,No
Female,Divorced,High school,Part-time,Yes
Female,Married,High school,Full-time,No
Female,Married,College,Full-time,No
Female,Widowed,High school,Retired,No
Female,Divorced,High school,Full-time,Yes
Male,Married,College,Retired,No
Female,Married,High school,Retired,Yes
Male,Married,High school,Retired,Yes
Male,Married,College,Full-time,Yes
Male,Divorced,College,Full-time,Yes
Female,Divorced,High school,Part-time,No
Female,Married,College,Part-time,Yes
Female,Married,College,Retired,Yes
Male,Married,High school,Retired,No
Male,Married,College,Full-time,Yes
Male,Married,High school,Full-time,No
Female,Married,College,Retired,No
Male,Married,High school,Retired,Yes
Female,Married,High school,Retired,Yes
Male,Married,College,Full-time,No
Male,Married,High school,Full-time,Yes
Female,Married,College,Full-time,No
Female,Married,College,Retired,No
Female,Married,College,Part-time,Yes
Female,Married,College,Full-time,No
Male,Married,College,Full-time,No
Male,Married,High school,Full-time,No
Female,Widowed,College,Retired,No
Male,Married,College,Retired,Yes
Female,Married,College,Full-time,No
Female,Widowed,High school,Retired,Yes
Male,Divorced,High school,Retired,Yes
Female,Married,College,Full-time,No
Female,Married,College,Full-time,No
Male,Married,High school,Retired,Yes
Female,Widowed,High school,Full-time,Yes
Male,Married,College,Full-time,Yes
Male,Married,College,Retired,Yes
Male,Married,College,Full-time,Yes
Male,Married,High school,Full-time,Yes
Female,Married,College,Part-time,Yes
Female,Married,College,Full-time,Yes
Male,Single,High school,Full-time,Yes
Female,Married,College,Retired,Yes
Male,Married,College,Part-time,No
