Marital-status,Education,Employement,printed-E-books
Single,College,Full-time,Yes
Married,College,Full-time,Yes
Married,College,Full-time,No
Married,High school,Retired,No
Married,College,Retired,Yes
Married,College,Full-time,No
Single,High school,Part-time,Yes
Married,High school,Full-time,No
Married,College,Full-time,No
Single,High school,Retired,No
Single,High school,Full-time,Yes
Married,College,Retired,No
Married,High school,Retired,Yes
Married,High school,Retired,Yes
Married,College,Full-time,Yes
Single,College,Full-time,Yes
Single,High school,Part-time,No
Married,College,Part-time,Yes
Married,College,Retired,Yes
Married,High school,Retired,No
Married,College,Full-time,Yes
Married,High school,Full-time,No
Married,College,Retired,No
Married,High school,Retired,Yes
Married,High school,Retired,Yes
Married,College,Full-time,No
Married,High school,Full-time,Yes
Married,College,Full-time,No
Married,College,Retired,No
Married,College,Part-time,Yes
Married,College,Full-time,No
Married,College,Full-time,No
Married,High school,Full-time,No
Single,College,Retired,No
Married,College,Retired,Yes
Married,College,Full-time,No
Single,High school,Retired,Yes
Single,High school,Retired,Yes
Married,College,Full-time,No
Married,College,Full-time,No
Married,High school,Retired,Yes
Single,High school,Full-time,Yes
Married,College,Full-time,Yes
Married,College,Retired,Yes
Married,College,Full-time,Yes
Married,High school,Full-time,Yes
Married,College,Part-time,Yes
Married,College,Full-time,Yes
Single,High school,Full-time,Yes
Married,College,Retired,Yes
Married,College,Part-time,No
